xlo   xhi   ylo   yhi    npix  nsource
  0   11   76   96   121   1
475  495  166  186   400   1
428  448  489  500   400   1
224  244   47   67   400   1
259  279    2   22   400   1
  0   15   94  114   225   1
271  291  359  379   400   1
161  181  255  275   400   2
 40   60  474  494   400   1
204  224   19   39   400   1
485  500   17   37   225   1
356  376  169  189   400   1
452  472  452  472   400   1
328  348  417  437   400   1
168  188  456  476   400   1
409  429   93  113   400   2
172  192    0   12   400   1
212  232  312  332   400   1
150  170   65   85   400   1
203  223   78   98   400   1
 15   35  446  466   400   2
 48   68  234  254   400   1
138  158  379  399   400   3
215  235  280  300   400   2
353  373  186  206   400   1
175  195  377  397   400   1
245  265  407  427   400   1
154  175  346  367   441   2
387  407  125  145   400   2
266  286  165  185   400   1
310  330  148  168   400   1
342  362  134  154   400   1
165  185  293  313   400   1
 86  106  408  428   400   1
 88  108  355  375   400   1
 41   61  369  389   400   2
404  430    1   27   676   1
349  373  293  318   576   1
128  148  463  483   400   1
288  314  178  205   676   2
  9   29   26   46   400   1
329  354  402  427   625   3
 91  111   80  100   400   1
293  316   24   46   529   1
444  464   39   59   400   2
304  324  125  145   400   1
 31   51   47   68   400   1
201  222  244  266   441   1
417  437  471  491   400   1
112  132  346  366   400   1
  3   28  158  183   625   1
301  339  332  371  1444   8
 25   45   70   91   400   1
267  287  107  127   400   4
376  431  314  369  3025  11
235  255  347  368   400   1
203  225  103  125   484   4
  8   28  210  230   400   1
246  268  240  262   484   2
 79  106  328  355   729   3
162  182   20   40   400   1
470  490    0   16   400   1
265  286  272  292   441   1
227  248  389  411   441   2
168  188  234  254   400   1
 60   88  417  446   784   2
307  327  189  209   400   1
189  209   25   45   400   1
389  414  486  500   625   2
144  169  369  394   625   2
111  136  409  434   625   1
255  282   99  125   729   5
237  267  268  298   900   2
 29   50  434  455   441   1
172  201  258  287   841   2
451  474  135  158   529   1
185  210  321  346   625   2
  0   16  289  318   256   1
257  282  125  150   625   1
430  484  330  384  2916   5
274  294   87  107   400   2
459  482   24   47   529   2
259  291  447  479  1024   4
 61   83  157  179   484   2
448  471  198  221   529   1
323  345  259  281   484   1
213  261  121  169  2304   5
 65   89  379  403   576   1
473  496   23   46   529   2
 90  111  445  466   441   2
367  407  380  421  1600   6
468  500  410  445  1024   4
298  318  303  323   400   4
451  473  104  127   484   1
233  258   68   93   625   1
468  494  202  229   676   1
309  333  291  315   576   2
424  451   86  113   729   2
 95  140  165  211  2025   3
 59  106  209  257  2209   4
353  421  396  464  4624  14
298  339  421  462  1681   4
296  322  166  192   676   2
432  456  446  470   576   1
266  292  176  202   676   1
386  406  198  218   400   2
  0   41  255  300  1681   3
215  243   62   90   784   1
437  461  137  161   576   1
175  206  333  364   961   3
250  276   54   79   676   1
356  388   81  114  1024   3
246  276  439  470   900   4
479  500   92  118   441   2
183  227  111  155  1936  10
 58  101   27   70  1849   4
408  432  417  442   576   3
 53   87   65   98  1156   2
281  304   24   47   529   1
 55   83  437  464   784   2
471  500  384  421   841   2
193  220  397  424   729   2
  0   26  379  426   676   5
128  155   60   87   729   1
113  148  227  262  1225   1
425  452  194  221   729   1
217  243  333  359   676   1
434  469  210  244  1225   1
259  314  403  458  3025   6
411  440  395  425   841   2
111  152  244  286  1681   2
 64  110    0   29  2116   5
141  167  180  206   676   1
109  142  148  181  1089   3
 74  139    0   64  4225   9
296  349  203  255  2809   6
395  434  180  218  1521   3
366  408  207  249  1764   4
130  172  428  470  1764   1
 75  125  113  163  2500   1
421  469  377  424  2304   3
  0   37  323  391  1369   6
424  454    0   23   900   2
310  354   13   57  1936   2
303  329  401  427   676   2
340  408  306  374  4624  12
207  248   97  138  1681   7
138  206   76  144  4624   7
 88  156  269  337  4624   2
339  392   56  109  2809   5
446  479  234  268  1089   1
336  404  338  406  4624  13
